2014-8-23	1	3	julian speroni	joel ward	brede hangeland	damien delaney	martin kelly	yannick bolasie	stuart o keefe	mile jedinak	barry bannan	frazier campbell	marouane chamakh	jonathan williams	dwight gayle	glenn murray	wayne hennessey	adrian mariappa	paddy mccarthy	adlene guedioura	 adrian	winston reid	aaron cresswell	james tomkins	cheikhou kouyate	stewart downing	mark noble	joey o brien	mauro zarate	 ricardo vaz te	carlton cole	momo diame	diego poyet	diafra sakho	jussi jaaskelainen	guy demel	ravel morrison	enner valencia
2014-8-23	0	0	fraser forster	nathaniel clyne	maya yoshida	 jose fonte	ryan bertrand	morgan schneiderlin	steven davis	victor wanyama	james ward prowse	dusan tadic	graziano pelle	jack cork	shane long	kelvin davis	florin gardos	jos hooiveld	saphir taider	lloyd isgrove	ben foster	andre wisdom	jonas olsson	sebastien pocognoli	craig dawson	craig gardner	chris brunt	graham dorrans	youssuf mulumbu	victor anichebe	saido berahino	jason davidson	stephane sessegnon	brown ideye	boaz myhill	gareth mcauley	chris baird	claudio yacob
2014-8-23	1	0	lukasz fabianski	 jordi amat	neil taylor	ashley williams	 angel rangel	sung yueng ki	jonjo shelvey	nathan dyer	wayne routledge	gylfi sigurdsson	wilfried bony	dwight tiendalli	jefferson montero	bafetimbi gomis	gerhard tremmel	kyle bartley	jazz richards	josh sheehan	tom heaton	kieran trippier	michael duff	jason shackell	ben mee	dean marney	david jones	matthew taylor	scott arfield	danny ings	lukas jutkiewicz	ross wallace	marvin sordell	ashley barnes	matt gilks	steven reid	stephen ward	michael kightly
2014-8-23	2	2	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	james mccarthy	gareth barry	steven pienaar	romelu lukaku	kevin mirallas	steven naismith	aiden mcgeady	christian atsu	leon osman	 joel	john stones	antolin alcaraz	muhamed besic	wojciech szczesny	mathieu debuchy	per mertesacker	 nacho monreal	calum chambers	jack wilshere	mesut ozil	aaron ramsey	mathieu flamini	alex oxlade chamberlain	alexis sanchez	 santi cazorla	olivier giroud	joel campbell	emiliano martinez	laurent koscielny	 hector bellerin	tomas rosicky
2014-8-24	1	1	allan mcgregor	james chester	curtis davies	paul mcshane	andrew robertson	ahmed al muhammadi	tom huddlestone	jake livermore	thomas ince	stephen quinn	nikica jelavic	liam rosenior	david meyler	george boyd	steve harper	maynor figueroa	alex bruce	sone aluko	asmir begovic	phil bardsley	erik pieters	marc wilson	ryan shawcross	glenn whelan	steven n zonzi	steven sidwell	peter odemwingie	marko arnautovic	mame diouf	charlie adam	peter crouch	 bojan	thomas sorensen	 muniesa	geoff cameron	jon walters
2014-8-24	4	0	hugo lloris	danny rose	younes kaboul	jan vertonghen	eric dier	erik lamela	christian eriksen	etienne capoue	nabil bentaleb	emmanuel adebayor	nacer chadli	mousa dembele	 soldado	harry kane	brad friedel	ben davies	aaron lennon	lewis holtby	robert green	armand traore	steven caulker	rio ferdinand	mauricio isla	richard dunne	matt phillips	joey barton	leroy fer	jordon mutch	loic remy	nedum onuoha	alejandro faurlin	bobby zamora	brian murphy	danny simpson	shaun wright phillips	junior hoilett
2014-8-24	1	1	vito mannone	patrick van aanholt	wes brown	john o shea	santiago vergini	lee cattermole	sebastian larsson	jack rodwell	steven fletcher	connor wickham	will buckley	liam bridcutt	 jordi gomez	jozy altidore	costel pantilimon	billy jones	valentin roberge	charis mavrias	 de gea	phil jones	chris smalling	tyler blackett	 mata	ashley young	tom cleverley	darren fletcher	antonio valencia	wayne rooney	robin van persie	michael keane	adnan januzaj	danny welbeck	ben amos	reece james	shinji kagawa	javier hernandez
2014-8-25	3	1	joe hart	vincent kompany	pablo zabaleta	gael clichy	martin demichelis	 fernando	samir nasri	 david silva	yaya toure	edin dzeko	stevan jovetic	 jesus navas	 fernandinho	kun aguero	willy caballero	bacary sagna	aleksandar kolarov	james milner	simon mignolet	glen johnson	dejan lovren	 alberto moreno	martin skrtel	steven gerrard	 coutinho	jordan henderson	joe allen	raheem sterling	daniel sturridge	emre can	lazar markovic	rickie lambert	brad jones	kolo toure	mamadou sakho	 manquillo
2014-8-30	0	0	tom heaton	kieran trippier	michael duff	jason shackell	ben mee	dean marney	david jones	matthew taylor	scott arfield	danny ings	lukas jutkiewicz	steven reid	ashley barnes	matt gilks	stephen ward	kevin long	ross wallace	marvin sordell	 de gea	phil jones	jonny evans	tyler blackett	angel di maria	 mata	ashley young	darren fletcher	antonio valencia	wayne rooney	robin van persie	adnan januzaj	 anderson	danny welbeck	ben amos	michael keane	reece james	javier hernandez
2014-8-30	0	1	joe hart	bacary sagna	vincent kompany	aleksandar kolarov	martin demichelis	 fernando	samir nasri	 david silva	yaya toure	kun aguero	stevan jovetic	 jesus navas	 fernandinho	edin dzeko	willy caballero	pablo zabaleta	gael clichy	james milner	asmir begovic	phil bardsley	erik pieters	marc wilson	ryan shawcross	glenn whelan	steven n zonzi	victor moses	mame diouf	jon walters	peter crouch	 muniesa	charlie adam	peter odemwingie	thomas sorensen	robert huth	marko arnautovic	 bojan
2014-8-30	3	3	tim krul	fabricio coloccini	mike williamson	massadio haidara	daryl janmaat	moussa sissoko	siem de jong	jack colback	remy cabella	yoan gouffran	emmanuel riviere	vurnon anita	rolando aarons	 ayoze perez	rob elliot	steven taylor	paul dummett	gabriel obertan	julian speroni	joel ward	adrian mariappa	scott dann	damien delaney	martin kelly	yannick bolasie	mile jedinak	jason puncheon	dwight gayle	marouane chamakh	frazier campbell	wilfried zaha	glenn murray	wayne hennessey	brede hangeland	jonathan williams	barry bannan
2014-8-30	1	0	robert green	steven caulker	rio ferdinand	clint hill	mauricio isla	matt phillips	joey barton	leroy fer	jordon mutch	junior hoilett	charlie austin	armand traore	adel taarabt	bobby zamora	brian murphy	nedum onuoha	richard dunne	karl henry	vito mannone	patrick van aanholt	wes brown	john o shea	santiago vergini	lee cattermole	sebastian larsson	jack rodwell	adam johnson	steven fletcher	connor wickham	emanuele giaccherini	jozy altidore	will buckley	costel pantilimon	billy jones	liam bridcutt	 jordi gomez
2014-8-30	3	0	lukasz fabianski	 jordi amat	neil taylor	ashley williams	 angel rangel	sung yueng ki	jonjo shelvey	nathan dyer	wayne routledge	gylfi sigurdsson	wilfried bony	tom carroll	jefferson montero	bafetimbi gomis	gerhard tremmel	dwight tiendalli	federico fernandez	jazz richards	ben foster	andre wisdom	jonas olsson	jason davidson	craig dawson	craig gardner	chris brunt	graham dorrans	youssuf mulumbu	brown ideye	saido berahino	cristian gamboa	james morrison	stephane sessegnon	boaz myhill	gareth mcauley	chris baird	claudio yacob
2014-8-30	1	3	 adrian	winston reid	aaron cresswell	james tomkins	cheikhou kouyate	stewart downing	mark noble	joey o brien	mauro zarate	 ricardo vaz te	carlton cole	ravel morrison	momo diame	enner valencia	jussi jaaskelainen	guy demel	diego poyet	diafra sakho	fraser forster	nathaniel clyne	maya yoshida	 jose fonte	ryan bertrand	morgan schneiderlin	steven davis	james ward prowse	shane long	dusan tadic	graziano pelle	gaston ramirez	jack cork	kelvin davis	florin gardos	jos hooiveld	victor wanyama	emmanuel mayuka
2014-8-30	3	6	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	aiden mcgeady	james mccarthy	gareth barry	romelu lukaku	kevin mirallas	steven naismith	muhamed besic	samuel eto o	 joel	john stones	antolin alcaraz	darron gibson	leon osman	thibaut courtois	branislav ivanovic	gary cahill	john terry	 azpilicueta	 cesc fabregas	 ramires	nemanja matic	 willian	eden hazard	 diego costa	 filipe luis	john mikel	didier drogba	petr cech	kurt zouma	mohamed salah	andre schurrle
2014-8-31	2	1	brad guzan	ron vlaar	philippe senderos	alan hutton	aly cissokho	ashley westwood	fabian delph	kieran richardson	charles n zogbia	andreas weimann	gabriel agbonlahor	carlos sanchez	jack grealish	darren bent	shay given	nathan baker	leandro bacuna	joe cole	allan mcgregor	curtis davies	paul mcshane	michael dawson	andrew robertson	ahmed al muhammadi	tom huddlestone	jake livermore	thomas ince	stephen quinn	nikica jelavic	liam rosenior	robbie brady	sone aluko	steve harper	alex bruce	david meyler	yannick sagbo
