@relation training
@attribute 'Team 1: Goalkeeper: Attacking' numeric
@attribute 'Team 1: Goalkeeper: Skill' numeric
@attribute 'Team 1: Goalkeeper: Movement' numeric
@attribute 'Team 1: Goalkeeper: Power' numeric
@attribute 'Team 1: Goalkeeper: Mentality' numeric
@attribute 'Team 1: Goalkeeper: Defending' numeric
@attribute 'Team 1: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 1: Defender: Attacking' numeric
@attribute 'Team 1: Defender: Skill' numeric
@attribute 'Team 1: Defender: Movement' numeric
@attribute 'Team 1: Defender: Power' numeric
@attribute 'Team 1: Defender: Mentality' numeric
@attribute 'Team 1: Defender: Defending' numeric
@attribute 'Team 1: Defender: Goalkeeping' numeric
@attribute 'Team 1: Midfielder: Attacking' numeric
@attribute 'Team 1: Midfielder: Skill' numeric
@attribute 'Team 1: Midfielder: Movement' numeric
@attribute 'Team 1: Midfielder: Power' numeric
@attribute 'Team 1: Midfielder: Mentality' numeric
@attribute 'Team 1: Midfielder: Defending' numeric
@attribute 'Team 1: Midfielder: Goalkeeping' numeric
@attribute 'Team 1: Forward: Attacking' numeric
@attribute 'Team 1: Forward: Skill' numeric
@attribute 'Team 1: Forward: Movement' numeric
@attribute 'Team 1: Forward: Power' numeric
@attribute 'Team 1: Forward: Mentality' numeric
@attribute 'Team 1: Forward: Defending' numeric
@attribute 'Team 1: Forward: Goalkeeping' numeric
@attribute 'Team 1: Number of Goalkeepers' numeric
@attribute 'Team 1: Number of Defenders' numeric
@attribute 'Team 1: Number of Midfielders' numeric
@attribute 'Team 1: Number of Strikers' numeric
@attribute 'Team 2: Goalkeeper: Attacking' numeric
@attribute 'Team 2: Goalkeeper: Skill' numeric
@attribute 'Team 2: Goalkeeper: Movement' numeric
@attribute 'Team 2: Goalkeeper: Power' numeric
@attribute 'Team 2: Goalkeeper: Mentality' numeric
@attribute 'Team 2: Goalkeeper: Defending' numeric
@attribute 'Team 2: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 2: Defender: Attacking' numeric
@attribute 'Team 2: Defender: Skill' numeric
@attribute 'Team 2: Defender: Movement' numeric
@attribute 'Team 2: Defender: Power' numeric
@attribute 'Team 2: Defender: Mentality' numeric
@attribute 'Team 2: Defender: Defending' numeric
@attribute 'Team 2: Defender: Goalkeeping' numeric
@attribute 'Team 2: Midfielder: Attacking' numeric
@attribute 'Team 2: Midfielder: Skill' numeric
@attribute 'Team 2: Midfielder: Movement' numeric
@attribute 'Team 2: Midfielder: Power' numeric
@attribute 'Team 2: Midfielder: Mentality' numeric
@attribute 'Team 2: Midfielder: Defending' numeric
@attribute 'Team 2: Midfielder: Goalkeeping' numeric
@attribute 'Team 2: Forward: Attacking' numeric
@attribute 'Team 2: Forward: Skill' numeric
@attribute 'Team 2: Forward: Movement' numeric
@attribute 'Team 2: Forward: Power' numeric
@attribute 'Team 2: Forward: Mentality' numeric
@attribute 'Team 2: Forward: Defending' numeric
@attribute 'Team 2: Forward: Goalkeeping' numeric
@attribute 'Team 2: Number of Goalkeepers' numeric
@attribute 'Team 2: Number of Defenders' numeric
@attribute 'Team 2: Number of Midfielders' numeric
@attribute 'Team 2: Number of Strikers' numeric
@attribute 'Outcome' {0, 1, 2}
@data
25.4, 26.8, 56.8, 42.4, 31.6, 23.6666666667, 82.4, 15.9333333333, 19.2, 19.7333333333, 20.8666666667, 15.6, 18.2222222222, 3.86666666667, 11.4, 12.24, 14.92, 11.12, 10.96, 5.53333333334, 1.96, 37.4, 32.6, 42.5, 36.2, 32.5, 12.6666666667, 5.8, 1.0, 3.0, 5.0, 2.0, 25.0, 25.4, 52.6, 41.6, 31.6, 25.0, 75.0, 16.8666666667, 16.8666666667, 21.8, 23.2, 18.8666666667, 26.0, 3.0, 12.64, 12.68, 16.12, 13.24, 10.96, 7.33333333334, 2.16, 35.4, 31.9, 37.3, 42.5, 33.3, 15.8333333334, 4.1, 1.0, 3.0, 5.0, 2.0, 0
24.0, 24.6, 51.6, 41.8, 26.4, 25.0, 75.6, 12.0, 10.65, 16.95, 14.95, 12.15, 15.9166666667, 1.85, 16.1, 17.15, 19.7, 16.45, 14.85, 6.5, 2.5, 32.5, 30.6, 37.9, 34.9, 28.4, 10.6666666667, 6.5, 1.0, 4.0, 4.0, 2.0, 26.4, 25.8, 55.6, 44.4, 30.0, 25.0, 80.0, 12.75, 11.5, 16.85, 14.9, 13.45, 17.9166666667, 2.3, 18.1, 16.1, 16.95, 19.45, 16.05, 6.0, 2.7, 32.6, 32.0, 37.7, 38.2, 35.3, 22.1666666666, 5.1, 1.0, 4.0, 4.0, 2.0, 1
25.0, 25.0, 46.6, 39.8, 28.2, 25.0, 75.6, 10.25, 7.9, 10.25, 15.6, 13.35, 19.3333333333, 2.8, 16.65, 17.85, 17.2, 17.4, 17.4, 18.0, 2.45, 37.0, 32.6, 39.9, 39.0, 33.2, 11.3333333334, 6.0, 1.0, 4.0, 4.0, 2.0, 27.0, 27.2, 52.2, 48.8, 27.4, 25.0, 73.8, 17.4, 17.8, 17.95, 18.4, 16.45, 16.5833333333, 2.1, 16.1, 16.9, 17.1, 18.25, 16.9, 17.4166666667, 2.3, 32.8, 32.3, 33.4, 35.3, 32.0, 12.5, 4.0, 1.0, 4.0, 4.0, 2.0, 0
25.2, 24.4, 56.4, 41.8, 30.6, 25.0, 80.8, 13.15, 10.65, 15.45, 15.3, 13.8, 19.25, 2.6, 18.7, 18.6, 18.9, 18.9, 16.15, 8.83333333332, 2.95, 34.0, 37.8, 41.2, 30.9, 27.5, 11.5, 4.8, 1.0, 4.0, 4.0, 2.0, 25.0, 26.6, 53.8, 45.6, 31.0, 25.0, 76.6, 14.95, 14.65, 17.75, 17.75, 15.55, 19.0833333333, 2.6, 16.7, 19.25, 20.45, 17.05, 15.35, 11.6666666667, 2.8, 36.5, 32.2, 38.0, 37.0, 29.1, 17.1666666666, 4.0, 1.0, 4.0, 4.0, 2.0, 0
27.0, 26.0, 52.8, 43.0, 27.4, 25.0, 77.6, 14.9333333333, 12.4, 19.9333333333, 20.1333333333, 17.7333333333, 23.0, 1.93333333333, 11.4, 12.44, 14.12, 14.56, 13.88, 15.1333333333, 2.56, 29.1, 31.5, 36.1, 31.2, 27.2, 12.0, 5.2, 1.0, 3.0, 5.0, 2.0, 27.6, 26.0, 55.0, 45.8, 29.0, 25.0, 70.8, 16.3333333333, 18.6666666667, 20.7333333333, 19.8, 17.5333333333, 24.7777777778, 3.06666666667, 13.52, 15.52, 15.72, 13.56, 12.88, 6.86666666666, 1.92, 32.1, 32.2, 34.6, 37.0, 28.8, 12.0, 4.7, 1.0, 3.0, 5.0, 2.0, 1
nan, nan, nan, nan, nan, nan, nan, 14.8, 14.65, 16.1, 15.1, 15.05, 18.75, 2.15, 16.95, 16.85, 18.05, 17.7, 15.8, 8.08333333332, 2.6, 22.4, 18.4666666667, 20.0666666667, 23.7333333333, 20.3333333333, 8.0, 3.4, 0.0, 4.0, 4.0, 3.0, nan, nan, nan, nan, nan, nan, nan, 16.3, 15.7, 16.9, 19.1, 16.9, 19.6666666667, 2.75, 15.05, 16.6, 16.6, 15.45, 16.2, 14.3333333333, 2.7, 25.5333333333, 21.6, 22.5333333333, 25.4, 22.4, 7.8888888889, 3.4, 0.0, 4.0, 4.0, 3.0, 0
26.2, 26.2, 53.4, 39.2, 32.2, 25.0, 78.6, 14.35, 15.6, 16.65, 15.55, 15.15, 18.0833333333, 2.55, 18.55, 21.25, 20.45, 17.75, 16.55, 6.75, 2.1, 29.9, 25.5, 32.1, 34.1, 27.2, 12.5, 5.8, 1.0, 4.0, 4.0, 2.0, 24.6, 24.4, 54.2, 47.0, 25.6, 25.0, 73.4, 15.0, 14.05, 16.7, 16.3, 13.9, 19.1666666667, 1.8, 15.95, 17.5, 18.85, 17.7, 14.75, 8.91666666668, 3.15, 37.1, 35.7, 34.0, 37.2, 34.4, 22.0, 5.6, 1.0, 4.0, 4.0, 2.0, 2
27.6, 26.2, 50.6, 52.8, 28.6, 25.0, 79.8, 13.4, 11.45, 15.75, 15.8, 13.9, 20.4166666667, 2.2, 14.4, 17.0, 17.75, 16.85, 17.4, 20.1666666667, 1.85, 37.2, 35.8, 40.4, 38.0, 31.6, 12.3333333334, 4.9, 1.0, 4.0, 4.0, 2.0, 25.2, 26.4, 43.4, 44.6, 26.8, 25.0, 74.0, 14.4, 16.05, 18.2, 16.4, 14.8, 18.75, 2.95, 15.65, 19.3, 18.6, 16.85, 16.45, 14.9166666667, 2.95, 36.8, 28.0, 28.7, 38.1, 30.2, 14.8333333334, 5.8, 1.0, 4.0, 4.0, 2.0, 2
27.0, 24.6, 53.0, 43.6, 30.0, 25.0, 78.2, 13.55, 14.25, 16.8, 13.6, 13.2, 16.3333333333, 2.9, 14.96, 13.52, 15.52, 14.44, 12.76, 9.2, 2.04, 68.4, 52.4, 76.6, 71.0, 55.6, 32.6666666667, 11.2, 1.0, 4.0, 5.0, 1.0, 26.4, 26.0, 49.8, 42.2, 29.4, 25.0, 81.0, 14.55, 11.95, 12.05, 14.25, 15.25, 19.3333333333, 1.9, 15.56, 13.96, 13.64, 15.04, 13.28, 5.2, 2.52, 78.6, 80.6, 78.8, 77.8, 66.2, 34.3333333333, 8.0, 1.0, 4.0, 5.0, 1.0, 0
25.4, 25.2, 60.8, 45.4, 25.2, 25.0, 69.8, 12.45, 12.35, 16.95, 16.9, 12.35, 16.5, 2.65, 15.3, 16.2, 18.0, 17.65, 14.9, 13.8333333333, 2.95, 30.3, 26.6, 34.2, 36.3, 29.6, 15.0, 4.8, 1.0, 4.0, 4.0, 2.0, 26.4, 25.8, 56.6, 47.4, 25.0, 25.0, 82.4, 16.05, 17.2, 19.5, 17.85, 17.7, 20.0, 2.15, 19.35, 21.1, 22.2, 17.8, 17.45, 6.16666666667, 2.25, 37.9, 33.0, 37.1, 37.8, 36.9, 16.8333333334, 5.5, 1.0, 4.0, 4.0, 2.0, 0
